"size","test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
10,SET,65494.15667,0.434333333,0.069333333,0.407,0.751,1.241666667,4.017666667
10,GET,55004.55333,0.531333333,0.050666667,0.441666667,1.185666667,2.081666667,7.313666667
20,SET,59291.06,0.486,0.08,0.431,0.953666667,1.716333333,6.004333333
20,GET,59343.74667,0.479666667,0.066666667,0.431,0.943,1.511,6.127
50,SET,61197.31,0.469,0.050666667,0.420333333,0.895,1.567,5.625666667
50,GET,64836.1,0.432666667,0.024,0.409666667,0.761666667,1.095,4.988333333
100,SET,66322.43333,0.438,0.077333333,0.409666667,0.772333333,1.137666667,7.788333333
100,GET,60400.10667,0.474,0.090666667,0.428333333,0.948333333,1.273666667,3.399
200,SET,65648.12,0.435333333,0.085333333,0.409666667,0.751,1.129666667,4.807
200,GET,61112.94333,0.461333333,0.088,0.423,0.836333333,1.353666667,7.519
1024,SET,57858.87,0.512333333,0.090666667,0.449666667,1.063,1.785666667,5.831
1024,GET,53768.90667,0.520666667,0.093333333,0.465666667,1.033666667,1.636333333,6.505666667
5120,SET,52307.29667,0.556333333,0.082666667,0.511,1.068333333,1.647,5.588333333
5120,GET,42417.61667,0.658333333,0.114666667,0.569666667,1.303,2.305666667,33.68433333
